RCA(%);Asphalt(%);Additive(%);TR(°C);HD (km);WC (%);OD(mgCFC-11eq);GW(kgCO2eq);SM(kgO3eq);AC(kgSO2eq);EU(gNeq);CA(CTUh E-6);NCA(CTUh E-6);RE(gPM2.5eq);EC(CTUe);FFD(MJsurplus)
0;4;0.15;10;0;1;3191;15179;622;96;8247;112;791;7307;23874;28743
0;4;0.15;10;0;2;3843;18275;747;115;9918;134;948;8797;28612;34552
0;4;0.15;10;0;3;4495;21371;872;135;11589;156;1104;10286;33350;40361
0;4;0.15;10;0;4;5148;24467;997;154;13261;178;1260;11776;38088;46170
0;4;0.15;10;50;1;3191;15179;622;96;8247;112;791;7307;23874;28743
0;4;0.15;10;50;2;3843;18275;747;115;9918;134;948;8797;28612;34552
0;4;0.15;10;50;3;4495;21371;872;135;11589;156;1104;10286;33350;40361
0;4;0.15;10;50;4;5148;24467;997;154;13261;178;1260;11776;38088;46170
0;4;0.15;10;100;1;3191;15179;622;96;8247;112;791;7307;23874;28743
0;4;0.15;10;100;2;3843;18275;747;115;9918;134;948;8797;28612;34552
0;4;0.15;10;100;3;4495;21371;872;135;11589;156;1104;10286;33350;40361
0;4;0.15;10;100;4;5148;24467;997;154;13261;178;1260;11776;38088;46170
0;4;0.15;10;150;1;3191;15179;622;96;8247;112;791;7307;23874;28743
0;4;0.15;10;150;2;3843;18275;747;115;9918;134;948;8797;28612;34552
0;4;0.15;10;150;3;4495;21371;872;135;11589;156;1104;10286;33350;40361
0;4;0.15;10;150;4;5148;24467;997;154;13261;178;1260;11776;38088;46170
0;4;0.15;20;0;1;2984;14196;582;89;7716;105;742;6834;22370;26898
0;4;0.15;20;0;2;3631;17271;706;109;9376;127;897;8314;27075;32667
0;4;0.15;20;0;3;4279;20345;830;128;11035;149;1052;9793;31781;38436
0;4;0.15;20;0;4;4927;23420;954;148;12695;171;1207;11272;36486;44205
0;4;0.15;20;50;1;2984;14196;582;89;7716;105;742;6834;22370;26898
0;4;0.15;20;50;2;3631;17271;706;109;9376;127;897;8314;27075;32667
0;4;0.15;20;50;3;4279;20345;830;128;11035;149;1052;9793;31781;38436
0;4;0.15;20;50;4;4927;23420;954;148;12695;171;1207;11272;36486;44205
0;4;0.15;20;100;1;2984;14196;582;89;7716;105;742;6834;22370;26898
0;4;0.15;20;100;2;3631;17271;706;109;9376;127;897;8314;27075;32667
0;4;0.15;20;100;3;4279;20345;830;128;11035;149;1052;9793;31781;38436
0;4;0.15;20;100;4;4927;23420;954;148;12695;171;1207;11272;36486;44205
0;4;0.15;20;150;1;2984;14196;582;89;7716;105;742;6834;22370;26898
0;4;0.15;20;150;2;3631;17271;706;109;9376;127;897;8314;27075;32667
0;4;0.15;20;150;3;4279;20345;830;128;11035;149;1052;9793;31781;38436
